Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Daniel Santiago,,1.2,0.6,0,0
Bernard James,88.2,1.2,0.5,0.1,NA
Josh Harrellson,84.7,1.4,0.7,0,NA
Keith Closs,81.6,1.1,0.6,0.2,NA
Rich Johnson,79.7,1.2,0.9,0.1,NA
Gene Tormohlen,78.1,1.4,0.8,0.1,0
Hank Beenders,77.6,1.1,0.9,-0.1,NA
Robert Swift,76.3,1.1,0.7,0,-0.2
Jason Collier,75.1,1.2,0.4,0.3,0
Lee Davis,75.0,1.5,0.6,0.2,0.2
Granville Waiters,72.5,1.3,0.5,0.2,-0.2
