Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Terry Tyler,,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2
Junior Bridgeman,89.9,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Tom Gugliotta,89.8,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9,0.4
Cliff Levingston,89.8,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5
Bill Bradley,89.3,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,NA
Rod Higgins,88.9,5.9,5.7,5.3,5,3.8,3.7,2.5,2,1.3,1,0.1
Jared Dudley,88.8,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,0.8
Wayman Tisdale,88.7,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2,1.8,1.7
Keith Van Horn,88.5,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA,NA
Jim Washington,88.5,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0
Ed Davis,88.4,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA
