,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1978-79,22,DET,NBA,,14,,,,,,7,10,,,,,,,,,32,
1979-80,23,DET,NBA,,13,,1,,,,9,11,,,,,,,,,29,
1980-81,24,DET,NBA,,13,,0,,,,6,10,,,,,,,,,31,
1981-82,25,DET,NBA,,11,,1,,,,9,9,,,,,,,,,22,
1982-83,26,DET,NBA,,14,22,1,,14,,10,12,,,,,,,,,32,
1983-84,27,DET,NBA,,9,19,1,2,9,19,6,8,4,7,11,4,4,5,3,6,20,18.1
1984-85,28,DET,NBA,,12,24,0,2,12,24,6,8,5,10,13,5,4,5,4,5,28,26.7
1985-86,29,SAC,NBA,,11,18,0,1,11,18,4,5,8,8,14,4,3,6,7,5,26,19.2
1986-87,30,SAC,NBA,,11,18,1,1,11,18,6,9,7,10,13,4,4,5,3,6,23,19.3
1987-88,31,SAC,NBA,,9,16,1,1,9,16,4,6,5,10,12,4,3,3,3,5,18,18.5
1988-89,32,DAL,NBA,,9,16,1,1,9,16,6,6,6,8,12,4,3,3,3,5,20,16.3
Career,,,,,14,,,,,,10,12,,,,,,,,,32,
7 Seasons,,DET,NBA,,14,,,,,,10,12,,,,,,,,,32,
3 Seasons,,SAC,NBA,,11,18,1,1,11,18,6,9,8,10,14,4,4,6,7,6,26,19.3
1 Season,,DAL,NBA,,9,16,1,1,9,16,6,6,6,8,12,4,3,3,3,5,20,16.3
