Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Richard Washington,,3.9,3.2,2.1,2,0,-0.5
Reggie Johnson,89.3,3.9,3,2.4,1.6,NA,NA
Frank Kaminsky,89.0,3.6,3.3,2.3,1.8,NA,NA
Eddie Griffin,88.4,3.9,3.2,2.4,1.5,-0.2,NA
Bill Garnett,87.4,3.9,3.5,2,1.5,NA,NA
Derrek Dickey,86.8,3.8,3.1,2.3,1.7,0.3,NA
Keith Erickson,86.0,3.3,2.9,2.1,1.9,0.2,-0.2
Bob Doll,85.4,4,2.8,1.8,1.6,NA,NA
Collis Jones,85.3,4.2,3.2,2.1,1.2,NA,NA
Frank Card,84.7,4.2,2.6,2.4,1.9,0.1,NA
T.J. Warren,84.3,4.1,3.4,2.2,2.1,1.1,NA
