Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Matt Maloney,,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA,NA,NA
Gene Vance,89.4,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA,NA,NA
Michael Dickerson,84.8,5.5,2.2,1.8,0.1,-0.1,NA,NA,NA,NA,NA,NA
Ed Fleming,79.4,5,2,1.2,1,0.8,NA,NA,NA,NA,NA,NA
Jason Hart,79.3,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3,NA,NA
Troy Hudson,79.3,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0,-0.1,-0.2
Johnny Neumann,79.3,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA,NA
Seth Curry,78.3,4.6,2.4,1.4,0,0,NA,NA,NA,NA,NA,NA
Buddy Hield,76.0,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA
Terry Dehere,75.1,5,1.2,1,0.5,0,-0.4,NA,NA,NA,NA,NA
Terry Rozier,73.9,5.6,3.2,1.4,-0.3,NA,NA,NA,NA,NA,NA,NA
