Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Matt Maloney,,5.3,2.2,1.5,0.7,0.1,-0.3
Gene Vance,89.4,5.3,2.2,1.6,1.3,0,NA
Michael Dickerson,84.8,5.5,2.2,1.8,0.1,-0.1,NA
George McCloud,83.5,5.8,2.3,1.4,0.9,-0.4,-0.7
Jason Hart,83.2,4.8,1.9,1.5,0.3,0.1,0
Johnny Neumann,80.4,4.6,2,1.6,0.8,0.6,0
Darrick Martin,80.2,4.6,1.9,1.3,0.5,0.2,0.1
Patty Mills,80.0,5.6,1.5,1.4,0.9,0.7,0
Ed Fleming,79.4,5,2,1.2,1,0.8,NA
Seth Curry,78.3,4.6,2.4,1.4,0,0,NA
Fred Hoiberg,76.3,5.9,2.3,2.1,1.8,0.2,0
