Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alvin Scott,,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8
Eduardo Nájera,94.5,4.8,4.1,4,4,2.7,1.6,1.1,1.1
Danny Fortson,90.7,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2
Jan van Breda Kolff,90.6,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6
Ron Anderson,90.4,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
Vladimir Radmanović,88.9,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8
Nate Williams,88.7,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4
Frank Brickowski,88.6,4.7,4.1,3.8,3.6,3.4,1.1,1,0.4
Al-Farouq Aminu,88.5,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7
Chris Gatling,88.3,4.6,4.5,3.9,3.9,3.1,2.4,2,-0.1
Dave Stallworth,88.2,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0
