Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jordan McRae,,0.5,0.4,0.2,NA
Darrin Hancock,88.0,0.5,0.4,0.2,NA
Kennard Winchester,85.3,0.5,0.4,0.3,NA
Julyan Stone,78.8,0.4,0.3,0.2,0.1
James White,75.5,0.5,0.3,0,NA
Anthony Jones,75.3,0.5,0.3,0,NA
Doug Lee,73.7,0.4,0.4,0,NA
Elliot Williams,72.0,0.3,0.3,0.1,0
K.J. McDaniels,69.6,0.6,0.5,0.2,NA
Paul Long,67.9,0.5,0.3,0.2,-0.2
Mario West,67.6,0.5,0.4,0.3,0.2
