Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kyrie Irving,,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA,NA,NA,NA
Fat Lever,89.1,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0,NA,NA,NA,NA
Jeff Mullins,88.8,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3,NA,NA,NA
Donnie Freeman,88.7,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA,NA,NA,NA
Bobby Wanzer,88.3,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA,NA,NA,NA
DeMar DeRozan,88.2,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA,NA,NA,NA,NA
Michael Redd,86.4,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,NA,NA,NA
Kevin Martin,85.0,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1,NA,NA,NA
Gus Williams,84.3,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA,NA,NA,NA
Doug Christie,84.0,8.9,8.7,8.6,7,5.7,5.1,4.2,4,1.4,1.4,0.9,0.1,0.1,-0.1,-0.3
Archie Clark,83.8,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA,NA,NA,NA,NA
