Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,25,DNN,NBA,NA,13,NA,NA,25,65,0.385,6,11,0.545,NA,15,13,56
Career,NA,,NBA,NA,13,NA,NA,25,65,0.385,6,11,0.545,NA,15,13,56
