Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Billy Thompson,,3.6,2.8,1.7,1.6,0,-0.1
Bob Doll,93.0,4,2.8,1.8,1.6,NA,NA
Bobby Portis,91.2,3.5,2.4,1.6,1.5,NA,NA
George Kaftan,88.8,3.4,2.4,1.7,1.6,-0.1,NA
Frank Kaminsky,87.1,3.6,3.3,2.3,1.8,NA,NA
Reggie Johnson,86.9,3.9,3,2.4,1.6,NA,NA
Derrek Dickey,86.1,3.8,3.1,2.3,1.7,0.3,NA
George Trapp,85.6,3.5,2.4,1.5,1,0.1,-0.2
Bill Garnett,85.5,3.9,3.5,2,1.5,NA,NA
Josh Boone,84.9,3.7,1.8,1.8,1.7,NA,NA
Nemanja Bjelica,84.7,4.5,2.8,1.9,1.5,NA,NA
