Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1976-77,23,CHI,NBA,PG,2,NA,11,0,4.4,0,NA,NA,NA,0,4.4,0,0,0,NA,0,0,0,0,0,0,NA,4.4,0,NA,NA,105
1977-78,24,IND,NBA,PG,1,NA,7,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,6.3,0,0,0,6.3,0,NA,200,110
1978-79,25,POR,NBA,PG,13,NA,131,8.1,15.6,0.523,NA,NA,NA,8.1,15.6,0.523,4.3,6,0.706,2.5,2.1,4.6,6,3.5,0.4,5,6.7,20.5,NA,103,103
1979-80,26,CLE,NBA,PG,62,NA,1051,5.2,13.6,0.384,0.7,3.1,0.239,4.5,10.5,0.426,1.7,2.2,0.769,2.4,2.8,5.2,11.2,3.2,0,4.1,4.8,12.9,NA,97,106
Career,NA,,NBA,,78,NA,1200,5.5,13.7,0.4,0.7,3.1,0.239,4.8,11,0.439,2,2.6,0.754,2.4,2.7,5.1,10.5,3.2,0.1,4.1,5,13.6,NA,98,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CLE,NBA,,62,NA,1051,5.2,13.6,0.384,0.7,3.1,0.239,4.5,10.5,0.426,1.7,2.2,0.769,2.4,2.8,5.2,11.2,3.2,0,4.1,4.8,12.9,NA,97,106
1 season,NA,POR,NBA,,13,NA,131,8.1,15.6,0.523,NA,NA,NA,8.1,15.6,0.523,4.3,6,0.706,2.5,2.1,4.6,6,3.5,0.4,5,6.7,20.5,NA,103,103
1 season,NA,CHI,NBA,,2,NA,11,0,4.4,0,NA,NA,NA,0,4.4,0,0,0,NA,0,0,0,0,0,0,NA,4.4,0,NA,NA,105
1 season,NA,IND,NBA,,1,NA,7,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,6.3,0,0,0,6.3,0,NA,200,110
