Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Brian Scalabrine,,1.7,1.4,1.1,1,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Marc Iavaroni,81.7,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA,NA,NA
John Wallace,81.2,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA
Scott Hastings,76.8,2.1,1.5,1.3,1.3,1,0.8,0.5,0.4,0.3,0.3,0.1
Malik Allen,76.5,1.1,1,1,1,0.9,0.7,0.5,0.3,0.2,0.1,NA
Luke Babbitt,75.5,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,NA,NA,NA
Darvin Ham,73.9,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA,NA,NA
Michael Ruffin,72.8,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0,NA,NA
Anthony Randolph,72.1,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA,NA,NA
Larry Staverman,70.6,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA,NA,NA
Lance Thomas,69.4,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4,NA,NA,NA
