Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Stojko Vranković,,0.9,0.4,0.1,0,-0.1
Jawann Oldham,69.1,1,0.5,0.3,0,0
Jabari Smith,67.7,0.7,0.5,0.2,0,NA
Greg Kite,66.9,0.7,0.3,0.1,0.1,0
Bernard James,65.0,1.2,0.5,0.1,NA,NA
Keith Closs,64.4,1.1,0.6,0.2,NA,NA
Chris Welp,64.1,0.7,0.3,0,NA,NA
Jason Collier,63.7,1.2,0.4,0.3,0,0
Chris Johnson,60.9,1,0.2,0.2,NA,NA
Mamadou N'Diaye,59.4,0.8,0.6,0.3,0.2,0
Greg Dreiling,57.0,1.1,0.4,0.2,0.2,0.1
