Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Stojko Vranković,,0.9,0.4,0.1,0,-0.1
Jabari Smith,67.7,0.7,0.5,0.2,0,NA
Bernard James,65.0,1.2,0.5,0.1,NA,NA
Keith Closs,64.4,1.1,0.6,0.2,NA,NA
Chris Welp,64.1,0.7,0.3,0,NA,NA
Jason Collier,63.7,1.2,0.4,0.3,0,0
Chris Johnson,60.9,1,0.2,0.2,NA,NA
Mamadou N'Diaye,59.4,0.8,0.6,0.3,0.2,0
Dave Newmark,56.6,0.8,0.7,0.4,NA,NA
Paul Ruffner,56.2,0.9,0.1,0,0,0
Daniel Santiago,56.2,1.2,0.6,0,0,NA
