Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jan Veselý,,1.7,1.6,0.7,NA,NA,NA
Andrew Nicholson,92.3,1.7,1.6,0.6,0.1,-0.1,NA
Charles Pittman,91.5,1.7,1.5,0.9,0.1,NA,NA
Taurean Waller-Prince,84.7,2,1.5,1.1,NA,NA,NA
Donnell Harvey,82.2,2,1.8,0.7,0.2,0.1,NA
Keith Lee,81.9,1.9,1.1,0.8,NA,NA,NA
Sam Pellom,81.4,2.2,1.8,0.7,0,NA,NA
Dominic McGuire,80.6,1.7,1.5,0.9,0.3,0,-0.2
Russ Schoene,80.3,1.8,1.7,1.3,-0.2,NA,NA
Cliff Pondexter,80.2,2.2,1.5,1,NA,NA,NA
Hank Whitney,79.8,1.8,1.1,0.5,NA,NA,NA
