Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Lowes Moore,,1.1,0.2,0.2,NA,NA,NA,NA
Kelvin Upshaw,87.7,1,0.3,0.3,NA,NA,NA,NA
Nate Hawthorne,81.3,1.1,0.5,0.1,NA,NA,NA,NA
Eddie Gill,77.5,1.1,0.3,0.2,0.1,0.1,0.1,0
Willie Smith,76.4,1,0.3,0,0,NA,NA,NA
Kyle Weaver,73.7,1.2,0.3,0,NA,NA,NA,NA
Connie Norman,72.6,0.8,0.2,0.2,NA,NA,NA,NA
Ray McCallum,71.3,1.4,0.4,0.3,NA,NA,NA,NA
Eddie Hughes,70.0,1,0.4,0,NA,NA,NA,NA
Brooks Thompson,68.9,1.1,0.6,0.2,0.1,NA,NA,NA
Sam Jacobson,68.8,0.9,0.2,0,NA,NA,NA,NA
