Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1955-56,27,PHW,NBA,PG,10,NA,405,4.1,10.5,0.39,3.9,5.2,0.746,4.2,4.6,3.3,12.1
1956-57,28,PHW,NBA,SG,2,NA,63,4,8.6,0.467,2.3,3.4,0.667,4,3.4,2.9,10.3
1957-58,29,PHW,NBA,PG,8,NA,277,3.9,10.5,0.37,2.1,2.6,0.8,4.9,4,1.8,9.9
1958-59,30,NYK,NBA,PG,2,NA,31,4.6,13.9,0.333,0,0,NA,4.6,3.5,4.6,9.3
Career,NA,,NBA,,22,NA,776,4,10.5,0.385,3,3.9,0.753,4.5,4.3,2.8,11
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHW,NBA,,20,NA,745,4,10.3,0.388,3.1,4.1,0.753,4.4,4.3,2.7,11.1
1 season,NA,NYK,NBA,,2,NA,31,4.6,13.9,0.333,0,0,NA,4.6,3.5,4.6,9.3
