Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jack George,,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1
Darnell Valentine,89.9,5,3.7,3.4,1.7,1.7,1.5,1.1,1
Doug West,88.8,4.6,4.3,2.6,1.8,1.7,1.2,0.8,-0.1
Greg Buckner,85.0,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3
Bill Hanzlik,84.4,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1
Keith Bogans,83.7,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Fred Jones,83.6,4.8,4,2.6,2.2,1.6,1.2,0,NA
Jerry Sichting,83.5,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
Sedale Threatt,83.3,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Aaron Brooks,83.2,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8
Marcus Thornton,83.0,4,3.8,3.5,3.2,2,1.7,1.2,0.5
