Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jack George,,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,NA,NA,NA,NA
Doug West,84.2,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
Greg Buckner,83.6,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA,NA
Fred Jones,83.6,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA,NA,NA
Marcus Thornton,83.0,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA,NA,NA
Carlos Arroyo,82.6,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA,NA
Jerry Sichting,82.2,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA,NA
Bob Warren,82.2,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6,NA,NA,NA,NA
Jim Price,82.0,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA,NA
Aaron Brooks,81.8,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,NA,NA
Fred Carter,81.8,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,NA,NA,NA,NA
