Season,Team,Lg,Salary
1987-88,Seattle SuperSonics,NBA,"$355,000"
1988-89,Seattle SuperSonics,NBA,"$428,000"
1990-91,Seattle SuperSonics,NBA,"$962,000"
1991-92,Seattle SuperSonics,NBA,"$1,112,000"
1992-93,Seattle SuperSonics,NBA,"$1,162,000"
1993-94,Indiana Pacers,NBA,"$1,262,000"
1994-95,Indiana Pacers,NBA,"$2,600,000"
1995-96,Indiana Pacers,NBA,"$2,800,000"
1996-97,Indiana Pacers,NBA,"$3,000,000"
1997-98,Indiana Pacers,NBA,"$3,600,000"
1998-99,Indiana Pacers,NBA,"$4,200,000"
1999-00,Indiana Pacers,NBA,"$4,800,000"
2000-01,Indiana Pacers,NBA,"$5,400,000"
2001-02,Indiana Pacers,NBA,"$6,000,000"
Career,(may be incomplete),,"$37,681,000"
