Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,24,STB,BAA,NA,1,NA,NA,0,0,NA,0,2,0,NA,0,0,0
Career,NA,,BAA,NA,1,NA,NA,0,0,NA,0,2,0,NA,0,0,0
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,STB,BAA,NA,1,NA,NA,0,0,NA,0,2,0,NA,0,0,0
