Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Danny Finn,,1.7,-0.3,-0.4
Ronald Murray,89.3,1.7,-0.3,-0.3
Moochie Norris,69.6,1.7,-0.1,-0.2
Tony Dumas,65.5,1.6,0,-0.3
Charles Smith,61.2,2,-0.3,-0.5
Bob Warlick,55.7,1.4,-0.2,-0.3
Sonny Weems,48.1,1.3,-0.3,-0.4
Kevin Edwards,45.8,1.6,0.3,-0.2
Bobby Wilson,44.0,1.6,0.2,-0.1
Mike Evans,42.6,1.6,0.1,-0.1
Orlando Johnson,41.5,1.5,0.1,-0.2
