Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Danny Finn,,1.7,-0.3,-0.4,NA
Orlando Johnson,41.5,1.5,0.1,-0.2,NA
Stan Noszka,38.8,1.8,0.4,-0.2,NA
John Kuester,38.1,1.9,0.1,0,NA
Bernard Robinson,38.0,1.7,0.3,0.1,NA
Stephen Vacendak,37.7,2.2,0.1,-0.4,NA
Cliff Barker,36.9,2.2,0.1,-0.2,NA
Bobby Wilson,26.3,1.6,0.2,0,-0.1
Ray Corley,24.8,1.2,0,-0.4,NA
Tracy Jackson,23.9,1.7,0.7,0,NA
Travis Mays,23.0,2.1,0.3,0,NA
