Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1972-73,23,VIR,ABA,PF,4,25,6.6,0.862,0,3,0,19.3,9.7,0,NA,NA,39.3,11.3,NA,0.1,0,0.1,0.209
Career,NA,,ABA,,4,25,6.6,0.862,0,3,0,19.3,9.7,0,NA,NA,39.3,11.3,NA,0.1,0,0.1,0.209
