Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Andrew Bogut,,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4,2.6,1.7,0.7,0.5,0.4,0.3
Sam Lacey,91.3,7.7,7.4,6.5,5.6,5.6,5,4.3,4,2.7,1.2,0.6,0.3,-0.1,NA
Theo Ratliff,87.5,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,2,1.4,0.8,0.1,0
Mike Gminski,87.4,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5,0.5,0
Darryl Dawkins,86.7,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1,0.1,0,-0.2
Jim Chones,86.6,6.4,6.2,6,5.9,5.8,4.7,3.5,3.3,2.6,1.4,NA,NA,NA,NA
Rick Mahorn,86.6,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.5
Erick Dampier,86.4,8.9,6.4,6.1,6,4.8,4.5,4.1,4,3.7,1.5,0.9,0.3,-0.1,-0.5
Samuel Dalembert,86.0,6.9,6.9,6.2,5.2,4.9,4.1,4,3.9,3.6,2.9,2.2,0.3,0.3,NA
Mychal Thompson,85.6,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,NA,NA
Mark Eaton,84.2,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,1.9,0.8,NA,NA,NA
