Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lorenzo Williams,,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Barney Cable,86.2,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Lou Amundson,84.9,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
DerMarr Johnson,83.1,3.2,1.7,1.3,0.4,0.1,0,-0.3,NA,NA,NA
George Lee,81.8,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
Darko Miličić,81.8,3.3,1.9,1.2,0.7,0.2,0.2,0,-0.1,-0.2,-0.2
Stanislav Medvedenko,81.0,3,1.8,0.5,0.4,0.2,0.1,0,NA,NA,NA
Darius Miller,80.0,3,1.6,0.8,0.5,-0.1,NA,NA,NA,NA,NA
Lee Nailon,80.0,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA,NA,NA
Mike Farmer,79.1,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1,NA,NA,NA
Marty Conlon,79.0,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1,NA
