Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Larry Stewart,,4.7,2.9,1.6,0.5,0.1
Kenny Gattison,93.4,4.5,3,1.5,0.7,0
Sam Smith,91.1,4.6,3.3,1.4,0.2,NA
Jaylen Brown,90.8,4.5,3,1.5,NA,NA
Cornell Warner,87.1,4.7,3.5,1.7,0.6,0.6
Amir Johnson,86.1,4.5,3,2.7,0.5,0.2
Jason Caffey,85.5,3.9,2.7,1.6,0.5,0.4
Tony Jaros,84.7,4.4,2.2,1.3,0.6,NA
Harold Pressley,84.5,4.8,2.3,2.2,0.7,NA
Nemanja Bjelica,84.1,4.5,2.8,1.9,1.5,NA
Carl Herrera,83.3,4.6,2.1,2,0.5,-0.2
