Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,28,PHI,NBA,SG,78,NA,3044,10.3,23.9,0.43,3.7,5.2,0.709,1.2,4.2,5.4,6.4,1.6,0.3,4,24.3,NA,NA,101
1974-75,29,PHI,NBA,PG,77,NA,3046,10.9,24.3,0.447,3.9,5.3,0.738,1.1,4.1,5.2,5.1,1.2,0.3,3.9,25.7,NA,NA,101
1975-76,30,PHI,NBA,PG,82,NA,2992,9.9,23.8,0.417,3.3,4.7,0.702,1.7,2.8,4.5,5.6,2,0.2,4.3,23.1,NA,NA,101
1976-77,31,TOT,NBA,SG,61,NA,1112,8.3,19.9,0.418,2.7,3.8,0.708,2.2,2.5,4.7,5,1.6,0.4,5,19.4,NA,NA,105
1976-77,31,PHI,NBA,SG,14,NA,237,8,18.9,0.426,1.9,3.6,0.526,1.9,2.6,4.5,3.9,2.1,0.4,5.4,17.9,NA,NA,100
1976-77,31,MIL,NBA,SG,47,NA,875,8.4,20.2,0.416,2.9,3.9,0.753,2.3,2.4,4.7,5.3,1.4,0.4,4.9,19.8,NA,NA,106
Career,NA,,NBA,,298,NA,10194,10.1,23.5,0.425,3.5,4.9,0.693,1.4,3.6,5,5.6,1.6,0.3,4.2,23.8,NA,NA,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,PHI,NBA,,251,NA,9319,10.3,23.9,0.431,3.6,5,0.697,1.3,3.7,5,5.7,1.7,0.3,4.1,24.2,NA,NA,101
1 season,NA,MIL,NBA,,47,NA,875,8.4,20.2,0.416,2.9,3.9,0.753,2.3,2.4,4.7,5.3,1.4,0.4,4.9,19.8,NA,NA,106
3 seasons,NA,BAL,NBA,,0,NA,0,NA,NA,0.393,NA,NA,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
