Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,24,BAL,NBA,SG,76,NA,1219,4.6,13,0.358,2.4,3.4,0.69,NA,NA,5.7,3.6,NA,NA,4,11.6
1970-71,25,BAL,NBA,SG,77,NA,1707,7.2,17.2,0.417,2.5,3.9,0.65,NA,NA,5.3,3.5,NA,NA,3.5,16.9
1971-72,26,TOT,NBA,SG,79,NA,2215,7.2,16.5,0.438,3,4.8,0.621,NA,NA,5.3,3.4,NA,NA,3.9,17.5
1971-72,26,BAL,NBA,SG,2,NA,68,3.2,14.3,0.222,1.6,4.8,0.333,NA,NA,10.1,6.4,NA,NA,3.7,7.9
1971-72,26,PHI,NBA,SG,77,NA,2147,7.4,16.6,0.444,3,4.8,0.63,NA,NA,5.1,3.3,NA,NA,3.9,17.8
1972-73,27,PHI,NBA,SG,81,NA,2993,8.2,19.4,0.421,3.1,4.4,0.704,NA,NA,5.8,4.2,NA,NA,3,19.4
1973-74,28,PHI,NBA,SG,78,NA,3044,8.3,19.4,0.43,3,4.2,0.709,1,3.4,4.4,5.2,1.3,0.3,3.3,19.7
1974-75,29,PHI,NBA,PG,77,NA,3046,8.5,18.9,0.447,3,4.1,0.738,0.9,3.2,4,4,1,0.2,3,19.9
1975-76,30,PHI,NBA,PG,82,NA,2992,8,19.2,0.417,2.6,3.8,0.702,1.4,2.2,3.6,4.5,1.6,0.2,3.4,18.6
1976-77,31,TOT,NBA,SG,61,NA,1112,6.8,16.2,0.418,2.2,3.1,0.708,1.8,2,3.8,4,1.3,0.3,4,15.7
1976-77,31,PHI,NBA,SG,14,NA,237,6.5,15.3,0.426,1.5,2.9,0.526,1.5,2.1,3.6,3.2,1.7,0.3,4.4,14.6
1976-77,31,MIL,NBA,SG,47,NA,875,6.8,16.4,0.416,2.4,3.2,0.753,1.9,2,3.8,4.3,1.2,0.3,3.9,16
Career,NA,,NBA,,611,NA,18328,7.7,18.1,0.425,2.8,4.1,0.693,1.1,2.8,4.7,4.2,1.3,0.2,3.4,18.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,PHI,NBA,,409,NA,14459,8.1,18.8,0.431,2.9,4.2,0.697,1.1,2.9,4.5,4.3,1.3,0.2,3.3,19.1
3 seasons,NA,BAL,NBA,,155,NA,2994,6,15.4,0.393,2.4,3.7,0.656,NA,NA,5.6,3.6,NA,NA,3.7,14.5
1 season,NA,MIL,NBA,,47,NA,875,6.8,16.4,0.416,2.4,3.2,0.753,1.9,2,3.8,4.3,1.2,0.3,3.9,16
