,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,24,BAL,NBA,,9,,6,8,,,,,,,,23
1970-71,25,BAL,NBA,,14,,7,9,,,,,,,,33
1971-72,26,TOT,NBA,,16,,10,14,,,,,,,,41
1971-72,26,BAL,NBA,,5,15,3,7,,,15,6,,,4,13
1971-72,26,PHI,NBA,,16,,10,14,,,,,,,,41
1972-73,27,PHI,NBA,,18,,11,14,,,,,,,,40
1973-74,28,PHI,NBA,,15,,9,12,,,,,,,,35
1974-75,29,PHI,NBA,,15,,11,12,,,,,,,,37
1975-76,30,PHI,NBA,,17,,11,12,,,,,,,,35
1976-77,31,TOT,NBA,,12,,6,8,,,,,,,,27
1976-77,31,PHI,NBA,,7,,5,8,,,,,,,,19
1976-77,31,MIL,NBA,,12,,6,7,,,,,,,,27
Career,,,,,18,,11,14,,,,,,,,41
6 Seasons,,PHI,NBA,,18,,11,14,,,,,,,,41
3 Seasons,,BAL,NBA,,14,,7,9,,,,,,,,33
1 Season,,MIL,NBA,,12,,6,7,,,,,,,,27
