Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,24,BAL,NBA,SG,7,NA,253,5.8,15.2,0.383,2.4,4,0.607,NA,NA,4.4,3.4,NA,NA,3.8,14.1
1970-71,25,BAL,NBA,SG,18,NA,597,6.5,15.7,0.415,2.8,4.4,0.644,NA,NA,4.9,2.2,NA,NA,3.8,15.9
1975-76,30,PHI,NBA,PG,3,NA,125,8.4,19.3,0.433,7.5,8.6,0.867,1.2,1.7,2.9,4.3,1.2,0.3,3.5,24.2
Career,NA,,NBA,,28,NA,975,6.6,16,0.41,3.3,4.8,0.687,1.2,1.7,4.5,2.8,1.2,0.3,3.8,16.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BAL,NBA,,25,NA,850,6.3,15.5,0.406,2.7,4.3,0.634,NA,NA,4.8,2.5,NA,NA,3.8,15.3
1 season,NA,PHI,NBA,,3,NA,125,8.4,19.3,0.433,7.5,8.6,0.867,1.2,1.7,2.9,4.3,1.2,0.3,3.5,24.2
