Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1969-70,24,BAL,NBA,SG,76,1219,7.9,0.402,0.264,NA,NA,NA,11.6,NA,NA,NA,-1.7,1.4,-0.3,-0.013,NA,NA,NA,NA,NA
1970-71,25,BAL,NBA,SG,77,1707,12.3,0.446,0.225,NA,NA,6.5,13.2,NA,NA,NA,-0.7,2,1.3,0.036,NA,NA,NA,NA,NA
1971-72,26,TOT,NBA,SG,79,2215,12.5,0.468,0.288,NA,NA,6.7,13.5,NA,NA,NA,0.2,1.6,1.8,0.04,NA,NA,NA,NA,NA
1971-72,26,BAL,NBA,SG,2,68,6,0.242,0.333,NA,NA,13.2,22.2,NA,NA,NA,-0.4,0.1,-0.3,-0.206,NA,NA,NA,NA,NA
1971-72,26,PHI,NBA,SG,77,2147,12.7,0.474,0.287,NA,NA,6.5,13.3,NA,NA,NA,0.6,1.5,2.1,0.048,NA,NA,NA,NA,NA
1972-73,27,PHI,NBA,SG,81,2993,15.2,0.455,0.228,NA,NA,7.2,17.9,NA,NA,NA,-0.3,1.5,1.3,0.02,NA,NA,NA,NA,NA
1973-74,28,PHI,NBA,SG,78,3044,15.7,0.463,0.218,2.5,9.5,5.8,23.8,1.6,0.4,NA,0.3,2,2.3,0.036,NA,-0.1,-0.7,-0.8,0.9
1974-75,29,PHI,NBA,PG,77,3046,15.9,0.482,0.217,2.4,9,5.7,18.2,1.2,0.3,NA,2.8,1.9,4.7,0.074,NA,0.3,-1,-0.7,1
1975-76,30,PHI,NBA,PG,82,2992,14.5,0.447,0.196,3.7,6,4.8,19.1,2,0.2,NA,1.1,2.2,3.3,0.053,NA,-0.7,-0.9,-1.6,0.3
1976-77,31,TOT,NBA,SG,61,1112,11.7,0.448,0.192,5.1,5.7,5.4,15.3,1.6,0.4,NA,0.1,0.4,0.4,0.018,NA,-1.7,-1.5,-3.2,-0.4
1976-77,31,PHI,NBA,SG,14,237,10.4,0.439,0.188,4.5,5.6,5.1,12.5,2.1,0.4,NA,-0.1,0.2,0.1,0.024,NA,-3,-0.3,-3.4,-0.1
1976-77,31,MIL,NBA,SG,47,875,12.1,0.45,0.193,5.3,5.7,5.5,16,1.4,0.4,NA,0.2,0.1,0.3,0.017,NA,-1.4,-1.8,-3.2,-0.3
Career,NA,,NBA,,611,18328,14,0.458,0.225,3.1,7.9,6,17.6,1.6,0.3,NA,1.9,12.9,14.8,0.039,NA,-0.3,-0.9,-1.3,1.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,PHI,NBA,,409,14459,14.8,0.463,0.224,2.9,8.1,6,18.7,1.7,0.3,NA,4.5,9.3,13.8,0.046,NA,-0.3,-0.9,-1.1,2.1
3 seasons,NA,BAL,NBA,,155,2994,10.3,0.426,0.24,NA,NA,6.7,12.8,NA,NA,NA,-2.8,3.4,0.7,0.011,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,47,875,12.1,0.45,0.193,5.3,5.7,5.5,16,1.4,0.4,NA,0.2,0.1,0.3,0.017,NA,-1.4,-1.8,-3.2,-0.3
