Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Fred Carter,,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3
John Bagley,86.7,4.6,3,2.6,2.6,1.1,0.9,0.4,-0.2
Winston Garland,85.9,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA
Tim Hardaway,85.9,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA
Jim King,85.5,3.7,3.5,2.3,1.5,1.3,1.1,0.4,-0.1
Slick Watts,85.5,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA
Marquis Daniels,85.4,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6
Doug West,85.4,4.6,4.3,2.6,1.8,1.7,1.2,0.8,-0.1
Fred Jones,84.6,4.8,4,2.6,2.2,1.6,1.2,0,NA
Al Skinner,84.3,4.9,3.3,2.1,1.8,1.2,0,NA,NA
Todd Day,83.4,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1
