Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Derrick Favors,,8.3,8,7.9,7.1,5.1,4.4,3,2.9,2.7,NA,NA,NA,NA
Bob Netolicky,89.1,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA,NA,NA
Jim McMillian,88.8,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA,NA,NA
Wally Szczerbiak,88.6,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA,NA,NA
Nick Anderson,88.4,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8,0,-0.4
Rodney McCray,88.0,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA,NA,NA
Sean Elliott,86.6,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3,1.5,1.4,1.4,0.5,NA
Frank Ramsey,85.5,10,7.3,6.5,5.9,5.3,4,3.6,3.3,3.2,NA,NA,NA,NA
Greg Ballard,85.3,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA,NA
Mickey Johnson,85.3,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,NA
Jack Marin,84.9,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,NA,NA
