Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Derrick Favors,,8.3,8,7.9,7.1,5.1,4.4,3,2.9,2.7
Nick Anderson,94.8,8.3,7.7,7.6,7.4,5.3,4.2,3.6,3.1,1.8
Corey Maggette,94.5,8.6,8.1,7,6.9,5,3.9,3.3,3,2.6
Hedo Türkoğlu,93.1,9,7.6,7.3,6.7,5.2,4.9,3.4,2.8,2.6
Grant Long,90.5,8.4,7.7,6.6,6.5,5.1,5,4.6,2.7,2.6
Wally Szczerbiak,90.4,8.7,8,7.4,7.3,6.2,5.2,2.9,1.6,1.6
Jack Marin,89.4,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,2.5
Mickey Johnson,89.2,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,0.7
Rodney McCray,89.1,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5
Bob Netolicky,89.1,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0
Jim McMillian,88.8,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5
