Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Myles Turner,,8,6.3,4.7,3.1,NA,NA,NA,NA,NA
Bob Rule,90.9,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0,NA
Don Otten,88.2,8.5,5.8,4.9,1.7,NA,NA,NA,NA,NA
Mike Lewis,85.1,7.9,7.5,4,3.8,1.1,0,NA,NA,NA
Gheorghe Mureșan,83.0,8,5.3,4.1,1.3,0.3,-0.1,NA,NA,NA
Nikola Peković,78.4,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA,NA
Tom Burleson,76.7,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA
Chick Halbert,75.4,7.4,3.6,3.3,2.9,NA,NA,NA,NA,NA
Gene Moore,75.2,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA
Ralph Sampson,73.9,6.2,6,5,2.2,1.1,0.6,-0.2,-0.3,-0.6
Bill McGill,73.8,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA,NA
