Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tim Frazier,,2.4,2,1.4,1,-0.1
Jon Barry,90.9,2.4,2.1,1.8,1.1,-0.1
John Crotty,90.8,2.4,2.1,1.3,1,0.3
Dave Wohl,90.6,2.1,1.7,1.4,1,0
Hollis Thompson,88.8,2.6,2,1.2,0.7,NA
Fred Carter,87.3,2.3,1.8,1.3,1.3,-0.3
Alonzo Gee,86.6,2.4,1.9,1,0.9,0.4
Nelson Bobb,85.1,2,1.8,1.2,1.1,NA
Nick Young,84.9,2.8,1.9,1.4,1.2,0.4
Brian Roberts,84.4,2.2,2.2,1.8,1,0.2
Tom Garrick,83.2,2.5,1.8,1.4,0.2,NA
