Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tim Frazier,,2.4,2,1.4,1,-0.1,NA,NA
Hollis Thompson,88.8,2.6,2,1.2,0.7,NA,NA,NA
Dave Wohl,85.2,2.1,1.7,1.4,1,0.2,0,-0.2
Nelson Bobb,85.1,2,1.8,1.2,1.1,NA,NA,NA
Brian Roberts,84.4,2.2,2.2,1.8,1,0.2,NA,NA
Tom Garrick,83.2,2.5,1.8,1.4,0.2,NA,NA,NA
Mike Barr,82.3,2.7,1.7,1.4,0.7,0.4,NA,NA
Claude Terry,80.7,2.4,1.8,1,1,0.8,0,NA
James Robinson,80.1,2.3,1.9,1.2,0.2,0.2,0,-0.1
Jerry Fleishman,79.9,2.2,2.1,1.6,1.3,0.6,NA,NA
Norman Powell,79.7,2.8,2.4,1.6,0.6,NA,NA,NA
