Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Shammond Williams,,3.1,2.9,1.2,1,0.5,0.2,0,NA,NA
Butch Carter,87.9,3,2.6,1.3,0.9,0.9,-0.2,NA,NA,NA
Bob Wilkerson,86.5,3.2,2.9,0.9,0.7,0.7,0.2,-0.3,NA,NA
Quincy Pondexter,86.3,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA
Khalid Reeves,81.2,3.5,2.5,1.2,1.1,0.1,0,NA,NA,NA
Reggie Bullock,80.6,4.2,3.1,1.2,1,0.2,0.1,NA,NA,NA
Ken Charles,79.1,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA
Pep Saul,78.9,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA
Jerian Grant,78.8,3.3,2.5,1.7,0.8,NA,NA,NA,NA,NA
Ron Lee,78.6,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
Shannon Brown,78.5,3.4,3.1,1.6,1.2,0.7,0.1,0,-0.3,-0.5
