Season,Team,Lg,Salary
1999-00,Seattle SuperSonics,NBA,"$500,000"
2000-01,Seattle SuperSonics,NBA,"$550,000"
2001-02,Seattle SuperSonics,NBA,"$1,750,000"
2002-03,Boston Celtics,NBA,"$2,000,000"
2003-04,Orlando Magic,NBA,"$751,179"
2006-07,Los Angeles Lakers,NBA,"$1,750,000"
Career,(may be incomplete),,"$7,301,179"
