Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1972-73,22,SEA,NBA,PG,12,99,12.3,0.566,0.696,NA,NA,2.9,21,NA,NA,NA,NA,NA,0.2,0,0.2,0.113,NA,NA,NA,NA,NA
1974-75,24,GSW,NBA,PG,67,756,14.8,0.528,0.447,7.8,10.9,9.4,16.9,2.4,0.1,NA,NA,NA,0.9,0.7,1.6,0.104,NA,-0.4,0.2,-0.2,0.3
1975-76,25,GSW,NBA,PG,82,1456,16.1,0.575,0.71,7.5,10.2,8.9,20.4,2.3,0.1,NA,NA,NA,2.6,2,4.6,0.151,NA,0.7,1.1,1.8,1.4
1976-77,26,GSW,NBA,PG,79,1682,15.7,0.557,0.482,7.1,10.7,8.9,25.5,1.8,0.2,NA,NA,NA,2.7,1.3,4,0.115,NA,1.3,-0.1,1.2,1.3
1977-78,27,GSW,NBA,PG,78,1660,13.4,0.585,0.783,5.2,12.6,8.8,29.8,1.9,0.1,32.7,11.8,NA,1.9,1.8,3.6,0.105,NA,-0.6,0.5,-0.1,0.8
1978-79,28,CHI,NBA,PG,43,684,6.4,0.411,0.336,4,9.7,6.9,20.9,2.2,0.1,30.8,12.1,NA,-0.7,0.6,-0.1,-0.009,NA,-4.3,0.7,-3.6,-0.3
Career,NA,,NBA,,361,6337,14,0.551,0.578,6.4,11,8.6,23.8,2,0.1,32.2,11.9,NA,7.6,6.4,14,0.106,NA,-0.2,0.5,0.3,3.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,GSW,NBA,,306,5554,15,0.564,0.601,6.7,11.1,8.9,24.3,2,0.1,32.7,11.8,NA,8.1,5.7,13.9,0.12,NA,0.3,0.4,0.8,3.9
1 season,NA,CHI,NBA,,43,684,6.4,0.411,0.336,4,9.7,6.9,20.9,2.2,0.1,30.8,12.1,NA,-0.7,0.6,-0.1,-0.009,NA,-4.3,0.7,-3.6,-0.3
1 season,NA,SEA,NBA,,12,99,12.3,0.566,0.696,NA,NA,2.9,21,NA,NA,NA,NA,NA,0.2,0,0.2,0.113,NA,NA,NA,NA,NA
