Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Charles Dudley,,4.6,4,3.6,1.6,0.2,-0.1
Billy Kenville,87.8,4.5,3.9,3,1.4,0.5,0.4
Allen Crabbe,86.8,4.3,4.2,3.2,1.3,0.8,0.1
Dean Meminger,84.2,5,4.4,3.9,2.2,1,0.2
Skeeter Swift,83.1,4.3,3.4,2.7,1.8,0,NA
T.J. McConnell,82.1,3.8,3.8,2.9,1.9,NA,NA
Mitchell Wiggins,81.1,5.4,3.5,3.3,2,1.2,-0.1
Kenny Sailors,80.9,5.2,4.9,3.7,1.7,1.6,NA
Eric Money,80.2,4.2,3.6,3.3,2.7,0.6,0.3
Paul Hoffman,80.1,4.7,4.1,2.2,1.1,0.8,NA
Jim Seminoff,79.1,5.4,4.5,3.6,3.4,NA,NA
