Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,SEA,NBA,PG,12,NA,99,10,23,0.435,14,16,0.875,NA,NA,6,16,NA,NA,NA,15,34
1974-75,24,GSW,NBA,PG,67,NA,756,102,217,0.47,70,97,0.722,61,84,145,103,40,2,NA,105,274
1975-76,25,GSW,NBA,PG,82,NA,1456,182,345,0.528,157,245,0.641,112,157,269,239,77,2,NA,170,521
1976-77,26,GSW,NBA,PG,79,NA,1682,220,421,0.523,129,203,0.635,119,177,296,347,67,6,NA,169,569
1977-78,27,GSW,NBA,PG,78,NA,1660,127,249,0.51,138,195,0.708,86,201,287,409,68,2,163,181,392
1978-79,28,CHI,NBA,PG,43,NA,684,45,125,0.36,28,42,0.667,25,61,86,116,32,1,64,82,118
Career,NA,,NBA,,361,NA,6337,686,1380,0.497,536,798,0.672,403,680,1089,1230,284,13,227,722,1908
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,GSW,NBA,,306,NA,5554,631,1232,0.512,494,740,0.668,378,619,997,1098,252,12,163,625,1756
1 season,NA,CHI,NBA,,43,NA,684,45,125,0.36,28,42,0.667,25,61,86,116,32,1,64,82,118
1 season,NA,SEA,NBA,,12,NA,99,10,23,0.435,14,16,0.875,NA,NA,6,16,NA,NA,NA,15,34
