Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,SEA,NBA,PG,12,NA,99,3.6,8.4,0.435,5.1,5.8,0.875,NA,NA,2.2,5.8,NA,NA,NA,5.5,12.4
1974-75,24,GSW,NBA,PG,67,NA,756,4.9,10.3,0.47,3.3,4.6,0.722,2.9,4,6.9,4.9,1.9,0.1,NA,5,13
1975-76,25,GSW,NBA,PG,82,NA,1456,4.5,8.5,0.528,3.9,6.1,0.641,2.8,3.9,6.7,5.9,1.9,0,NA,4.2,12.9
1976-77,26,GSW,NBA,PG,79,NA,1682,4.7,9,0.523,2.8,4.3,0.635,2.5,3.8,6.3,7.4,1.4,0.1,NA,3.6,12.2
1977-78,27,GSW,NBA,PG,78,NA,1660,2.8,5.4,0.51,3,4.2,0.708,1.9,4.4,6.2,8.9,1.5,0,3.5,3.9,8.5
1978-79,28,CHI,NBA,PG,43,NA,684,2.4,6.6,0.36,1.5,2.2,0.667,1.3,3.2,4.5,6.1,1.7,0.1,3.4,4.3,6.2
Career,NA,,NBA,,361,NA,6337,3.9,7.8,0.497,3,4.5,0.672,2.3,3.9,6.2,7,1.6,0.1,3.5,4.1,10.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,GSW,NBA,,306,NA,5554,4.1,8,0.512,3.2,4.8,0.668,2.5,4,6.5,7.1,1.6,0.1,3.5,4.1,11.4
1 season,NA,CHI,NBA,,43,NA,684,2.4,6.6,0.36,1.5,2.2,0.667,1.3,3.2,4.5,6.1,1.7,0.1,3.4,4.3,6.2
1 season,NA,SEA,NBA,,12,NA,99,3.6,8.4,0.435,5.1,5.8,0.875,NA,NA,2.2,5.8,NA,NA,NA,5.5,12.4
