Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1974-75,24,GSW,NBA,PG,13,112,12.7,0.496,1.167,4.4,11.2,7.7,19.8,2.1,1,NA,NA,NA,0,0.2,0.1,0.062,NA,-1.6,0.2,-1.3,0
1975-76,25,GSW,NBA,PG,13,260,17.7,0.629,0.579,7.8,6.5,7.2,18.4,3.9,0.2,NA,NA,NA,0.7,0.3,0.9,0.173,NA,2.7,1.8,4.5,0.4
1976-77,26,GSW,NBA,PG,10,236,13.1,0.435,0.622,6.7,9,7.8,34.1,1.4,0,NA,NA,NA,0,0.1,0.2,0.039,NA,0.2,0.1,0.3,0.1
Career,NA,,NBA,,36,608,15,0.539,0.712,6.7,8.4,7.5,24.7,2.6,0.3,NA,NA,NA,0.7,0.6,1.3,0.1,NA,0.9,0.8,1.8,0.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,GSW,NBA,,36,608,15,0.539,0.712,6.7,8.4,7.5,24.7,2.6,0.3,NA,NA,NA,0.7,0.6,1.3,0.1,NA,0.9,0.8,1.8,0.6
