,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1972-73,22,SEA,NBA,,2,,5,6,,,,,,,,,7,
1974-75,24,GSW,NBA,,6,12,9,9,,,9,11,,,,6,15,
1975-76,25,GSW,NBA,,8,,9,12,,,,,,,,,18,
1976-77,26,GSW,NBA,,9,13,8,11,8,7,12,13,4,,,5,19,
1977-78,27,GSW,NBA,,6,,7,10,,,,,,,,,14,
1978-79,28,CHI,NBA,,7,9,6,8,3,9,9,8,5,1,5,5,14,13.9
Career,,,,,9,,9,12,,,,,,,,,19,
4 Seasons,,GSW,NBA,,9,,9,12,,,,,,,,,19,
1 Season,,CHI,NBA,,7,9,6,8,3,9,9,8,5,1,5,5,14,13.9
1 Season,,SEA,NBA,,2,,5,6,,,,,,,,,7,
