Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,24,GSW,NBA,PG,67,NA,756,6,12.8,0.47,4.1,5.7,0.722,3.6,5,8.6,6.1,2.4,0.1,NA,6.2,16.2,NA,NA,99
1975-76,25,GSW,NBA,PG,82,NA,1456,5.5,10.5,0.528,4.8,7.5,0.641,3.4,4.8,8.2,7.3,2.3,0.1,NA,5.2,15.9,NA,NA,96
1976-77,26,GSW,NBA,PG,79,NA,1682,5.8,11.1,0.523,3.4,5.4,0.635,3.2,4.7,7.8,9.2,1.8,0.2,NA,4.5,15.1,NA,NA,102
1977-78,27,GSW,NBA,PG,78,NA,1660,3.5,6.8,0.51,3.8,5.3,0.708,2.3,5.5,7.8,11.2,1.9,0.1,4.4,4.9,10.7,NA,105,101
1978-79,28,CHI,NBA,PG,43,NA,684,3.1,8.5,0.36,1.9,2.9,0.667,1.7,4.2,5.9,7.9,2.2,0.1,4.4,5.6,8,NA,83,105
Career,NA,,NBA,,349,NA,6238,4.9,9.8,0.497,3.8,5.6,0.672,2.9,4.9,7.8,8.7,2,0.1,1.6,5.1,13.5,NA,99,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,GSW,NBA,,306,NA,5554,5.1,9.9,0.512,4,6,0.668,3,5,8,8.8,2,0.1,1.3,5,14.1,NA,105,99
1 season,NA,CHI,NBA,,43,NA,684,3.1,8.5,0.36,1.9,2.9,0.667,1.7,4.2,5.9,7.9,2.2,0.1,4.4,5.6,8,NA,83,105
1 season,NA,SEA,NBA,,0,NA,0,NA,NA,0.435,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
