,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,22,PHW,NBA,,9,,12,17,,,,28
1951-52,23,PHW,NBA,,15,,18,22,,,,40
1954-55,26,PHW,NBA,,13,,16,19,,,6,38
1955-56,27,PHW,NBA,,15,,15,19,,,6,39
1956-57,28,PHW,NBA,,15,37,17,19,,,6,37
1957-58,29,PHW,NBA,,15,,14,18,,,,36
1958-59,30,PHW,NBA,,18,,17,22,,,6,42
1959-60,31,PHW,NBA,,19,33,12,13,,7,6,44
1960-61,32,PHW,NBA,,22,37,17,21,,,6,49
1961-62,33,PHW,NBA,,15,,17,,,,,36
Career,,,,,22,,18,,,,,49
