Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,22,PHW,NBA,SF,2,NA,NA,7,13.5,0.519,6.5,8,0.813,10,1.5,5,20.5
1951-52,23,PHW,NBA,SF,3,NA,40,8,17.7,0.453,9.7,11,0.879,12.7,2.7,5.7,25.7
1955-56,27,PHW,NBA,SF,10,NA,40.9,10.3,22.9,0.45,8.3,9.9,0.838,8.4,2.9,3.1,28.9
1956-57,28,PHW,NBA,SF,2,NA,11,1.5,4,0.375,1.5,2.5,0.6,4,0.5,1.5,4.5
1957-58,29,PHW,NBA,SF,8,NA,38.6,8.3,21.1,0.391,7,9,0.778,7.8,2,3.3,23.5
1959-60,31,PHW,NBA,SF,9,NA,41.2,9.3,21.7,0.431,7.7,8.8,0.873,9.6,3.7,3.2,26.3
1960-61,32,PHW,NBA,SF,3,NA,41.7,7.3,22.3,0.328,7.7,11,0.697,8.7,4,5.7,22.3
1961-62,33,PHW,NBA,SF,12,NA,38.3,7.9,21.1,0.375,7.3,8.5,0.863,6.7,2.2,3.7,23.2
Career,NA,,NBA,,49,NA,38.6,8.4,20.4,0.411,7.4,9,0.829,8.2,2.6,3.6,24.2
