Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Paul Arizin,,16,13.7,13,12.3,12.2,9.7,9.2,8.7,7.7,6.3
Adrian Dantley,93.2,14.6,13.6,12.8,12.6,12.2,10.5,9.8,8,5.7,4.3
Shawn Marion,91.9,14.6,13,12.5,12,11.7,9.8,9.1,7.4,5.2,4.1
Dolph Schayes,90.2,14.8,13.7,13.1,12.8,12.5,12,11.8,10.3,9.4,8.5
Rick Barry,89.3,14.4,12.7,11.1,10.4,10.4,10.2,9.6,8.5,8.1,7.8
Pau Gasol,88.6,14.7,13.9,12,11,8.5,8.4,8.1,7.6,6.9,6.8
Bailey Howell,88.2,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6
Kevin McHale,87.3,14.8,11.1,11,11,10.5,10.2,10.1,7.5,7.5,4.7
Kevin Garnett,85.9,18.3,16.1,15.6,12.8,11.8,11.6,9.6,7.3,5.4,4.4
Paul Pierce,85.1,12.9,12.4,11.5,11.2,10.4,10.1,8.2,7.1,5.4,4.9
Tim Duncan,83.5,17.8,16.5,13.2,13.1,13,13,12.8,11.2,10.8,8.7
