Season,Team,Lg,Salary
1997-98,Los Angeles Clippers,NBA,"$1,051,800"
1998-99,Los Angeles Clippers,NBA,"$1,209,000"
1999-00,Los Angeles Clippers,NBA,"$1,367,400"
2000-01,Houston Rockets,NBA,"$2,250,000"
2001-02,Houston Rockets,NBA,"$6,500,000"
2002-03,Houston Rockets,NBA,"$7,150,000"
2003-04,Houston Rockets,NBA,"$7,800,000"
2004-05,Houston Rockets,NBA,"$8,450,000"
2005-06,New York Knicks,NBA,"$9,100,000"
2006-07,New York Knicks,NBA,"$7,500,000"
2006-07,Sacramento Kings,NBA,"$1,065,918"
Career,(may be incomplete),,"$53,444,118"
