,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,24,POR,NBA,SF,75,1995,.533,8.1,.931,.488,.125,.106,.212,.069,.547,.695,.319,.416,.409,.340,.662,.079,54,.882,.400,.250,1,0
2001-02,25,POR,NBA,SG,74,2348,.469,12.3,.834,.332,.085,.089,.329,.166,.486,.649,.261,.348,.415,.384,.606,.064,63,.894,.349,.433,2,0
2002-03,26,POR,NBA,SG,75,2396,.441,11.3,.869,.348,.099,.141,.280,.131,.464,.626,.327,.371,.357,.292,.554,.047,45,.921,.492,.328,5,0
2003-04,27,TOT,NBA,SG,72,1872,.427,10.6,.919,.358,.102,.146,.313,.081,.437,.589,.345,.323,.346,.319,.669,.040,29,.864,.594,.341,2,0
2003-04,27,POR,NBA,SG,13,404,.389,10.7,.954,.377,.086,.149,.343,.046,.401,.576,.267,.231,.317,.125,.657,.029,5,1.000,.375,.333,1,0
2003-04,27,MEM,NBA,SG,59,1468,.437,10.6,.910,.353,.107,.145,.305,.090,.446,.592,.361,.347,.354,.344,.672,.043,24,.857,.623,.342,1,0
2004-05,28,MEM,NBA,SG,69,1489,.441,10.5,.831,.402,.088,.105,.237,.169,.460,.597,.278,.369,.336,.346,.669,.076,43,.917,.750,.333,0,0
2005-06,29,SAC,NBA,SG,52,1684,.463,8.1,.927,.481,.144,.103,.199,.073,.482,.600,.398,.254,.377,.222,.573,.073,40,1.000,.711,.250,2,0
2006-07,30,HOU,NBA,SF,28,590,.411,8.2,.966,.478,.121,.159,.208,.034,.420,.535,.480,.273,.233,.143,.464,.029,6,.000,.286,.000,2,1
2007-08,31,TOT,NBA,SG,73,1562,.443,9.0,.912,.478,.090,.104,.241,.088,.462,.607,.275,.254,.336,.240,.671,.090,47,.917,.560,.321,3,0
2007-08,31,HOU,NBA,SG,51,1124,.425,9.1,.908,.495,.075,.095,.243,.092,.447,.583,.161,.256,.330,.211,.659,.068,26,.875,.500,.316,3,0
2007-08,31,NOH,NBA,SG,22,438,.490,8.9,.924,.433,.127,.127,.236,.076,.503,.676,.450,.250,.351,.333,.699,.146,21,1.000,.750,.333,0,0
Career,,,NBA,,518,13936,.457,10.2,.888,.403,.104,.116,.265,.112,.475,.622,.326,.337,.368,.322,.619,.063,327,.901,.518,.335,17,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,POR,NBA,,237,7143,.471,10.8,.877,.379,.100,.114,.284,.123,.489,.652,.301,.364,.388,.339,.609,.060,167,.902,.408,.361,9,0
2 seasons,,MEM,NBA,,128,2957,.439,10.6,.872,.376,.098,.126,.272,.128,.453,.595,.325,.356,.347,.345,.671,.059,67,.895,.703,.336,1,0
2 seasons,,HOU,NBA,,79,1714,.420,8.8,.927,.489,.090,.116,.231,.073,.437,.568,.304,.264,.301,.200,.594,.055,32,.778,.467,.286,5,1
1 season,,SAC,NBA,,52,1684,.463,8.1,.927,.481,.144,.103,.199,.073,.482,.600,.398,.254,.377,.222,.573,.073,40,1.000,.711,.250,2,0
1 season,,NOH,NBA,,22,438,.490,8.9,.924,.433,.127,.127,.236,.076,.503,.676,.450,.250,.351,.333,.699,.146,21,1.000,.750,.333,0,0
