Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Bonzi Wells,,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1
Lester Conner,88.0,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5
Foots Walker,87.9,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3
Brandon Jennings,87.6,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,NA
Bill Keller,86.6,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA
Craig Ehlo,86.4,6.5,6.2,4.6,3.8,3.4,3.1,1.2,0.5,0.2,0
Jim Cleamons,86.2,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA
Charlie Ward,86.1,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1,-0.2
Odie Spears,86.0,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA
Ricky Davis,85.7,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2
Quentin Richardson,85.5,5.8,5.8,5.6,3.5,3,2.4,2.1,1,0.7,0.3
