Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Shannon Brown,,3.4,3.1,1.6,1.2,0.7,0.1,0,-0.3,-0.5
Langston Galloway,84.6,3.4,3.3,1.4,1.3,1.3,NA,NA,NA,NA
Ron Lee,82.4,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
Quincy Pondexter,82.4,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA
Ish Smith,81.7,4.4,3.1,1.7,1.3,1,0.3,-0.1,-0.1,-0.4
Larry Wright,79.6,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA
Ken Charles,78.7,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA
Shammond Williams,78.5,3.1,2.9,1.2,1,0.5,0.2,0,NA,NA
Rick Adelman,78.2,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA
Pep Saul,77.4,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA
Gary Neal,77.1,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA
