,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,22,DLC,ABA,,15,,3,,,,11,14,,,,,,,,,38
1968-69,23,TOT,ABA,,19,,3,,,,14,20,,,,,,,,,48
1968-69,23,DNR,ABA,,9,,1,,,,7,11,,,,,,,,,24
1968-69,23,NYA,ABA,,14,,1,,,,12,17,,,,,,,,,30
1968-69,23,HSM,ABA,,19,,3,,,,14,20,,,,,,,,,48
1969-70,24,CAR,ABA,,17,,5,,,,15,17,,,,,,,,,41
1970-71,25,CAR,ABA,,20,,1,,,,12,16,,,,,,,,,49
1971-72,26,TOT,ABA,,17,,2,,,,15,19,,,,,,,,,43
1971-72,26,CAR,ABA,,8,17,2,,6,,5,6,,,2,3,,,,,23
1971-72,26,PTC,ABA,,17,,2,,,,15,19,,,,,,,,,43
1973-74,28,POR,NBA,,9,15,,,,,4,6,2,1,3,3,2,0,,4,22
Career,,,TOT,,20,,,,,,15,20,,,,,,,,,49
,,,NBA,,9,15,,,,,4,6,2,1,3,3,2,0,,4,22
,,,ABA,,20,,5,,,,15,20,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,"CAR,HSM",ABA,,20,,5,,,,15,20,,,,,,,,,49
1 Season,,PTC,ABA,,17,,2,,,,15,19,,,,,,,,,43
1 Season,,DLC,ABA,,15,,3,,,,11,14,,,,,,,,,38
1 Season,,NYA,ABA,,14,,1,,,,12,17,,,,,,,,,30
1 Season,,POR,NBA,,9,15,,,,,4,6,2,1,3,3,2,0,,4,22
1 Season,,DNR,ABA,,9,,1,,,,7,11,,,,,,,,,24
