Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bob Verga,,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA,NA,NA,NA
Victor Oladipo,81.2,8.2,4.9,4,3.5,2.3,1.3,NA,NA,NA,NA,NA,NA
Mike James,79.5,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Ted McClain,79.5,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA,NA
Gene Littles,79.3,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA,NA,NA,NA,NA
Derek Smith,77.6,8,2.9,2.6,1.6,1.5,0.9,0.8,0,0,NA,NA,NA
Larry Miller,76.7,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA,NA,NA,NA
Lewis Lloyd,76.5,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA,NA
Bojan Bogdanović,76.1,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA,NA
Charles Beasley,74.9,8,4.1,2.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Marcus Smart,74.6,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA,NA,NA,NA
