Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bob Verga,,8.2,3.8,3.3,2.8,1.5,0.1
Jalen Rose,85.1,7.3,3.8,3.3,2.9,2.1,1.8
Mo Williams,83.6,9.8,4.5,3.2,2.5,2.2,0.2
Sam Cassell,83.2,8.3,4.7,3.9,3.9,2.2,0.8
Brevin Knight,83.2,8.4,2.8,2.5,1.6,1.4,0.2
Mike James,83.0,7.6,5.2,4.3,2.8,1.8,0
Ted McClain,82.7,7,4.2,4.1,2.7,2,-0.1
Larry Drew,81.9,7.2,4.6,3.6,3,2.8,0
Eric Bledsoe,81.6,7,4.1,3.7,2.5,0.3,0.2
J.R. Smith,81.5,5.8,3.7,3.7,2.7,1.2,0.2
Victor Oladipo,81.2,8.2,4.9,4,3.5,2.3,1.3
