,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,24,SAS,NBA,PF,67,808,,,7%,91%,2%,+6.6,-1.7,17,8,47,3,15,7,110,5,6
2017-18,25,SAS,NBA,PF,77,1086,,,,92%,7%,+3.6,+1.0,23,8,47,1,18,4,176,4,6
2018-19,26,SAS,NBA,PF,76,1632,,,4%,95%,1%,+8.6,+11.1,25,9,72,5,24,16,236,8,8
2019-20,27,WAS,NBA,PF,54,1583,,,,84%,16%,-0.3,+7.4,41,11,68,5,35,29,221,8,19
Career,,,NBA,,274,5109,,,3%,90%,7%,+4.5,+5.8,106,36,234,14,92,56,743,25,39
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,220,3526,,,4%,93%,3%,+6.6,+5.0,65,25,166,9,57,27,522,17,20
1 season,,WAS,NBA,,54,1583,,,,84%,16%,-0.3,+7.4,41,11,68,5,35,29,221,8,19
