Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Dāvis Bertāns,,4,3.1,2.3
Reggie Johnson,98.2,3.9,3,2.4
Derrek Dickey,97.3,3.8,3.1,2.3
Eddie Griffin,96.3,3.9,3.2,2.4
Michael Kidd-Gilchrist,95.7,3.8,3.1,2.1
Lawrence Funderburke,94.0,3.7,3.1,2.1
Tim Thomas,93.8,3.8,3.4,2.2
John Brown,93.4,4.2,2.6,2.3
Jason Thompson,93.4,4,2.9,2.7
Dwight Davis,93.3,3.7,3.3,2.3
Danny Vranes,92.8,4.2,3.4,2.4
