Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dāvis Bertāns,,4,3.1,2.3,NA,NA,NA
Mike Jackson,89.2,3.4,3.1,2.4,0.2,NA,NA
Sam Williams,88.9,3.7,2.7,2.6,-0.1,NA,NA
Zeke Zawoluk,86.9,3.9,2.5,1.7,NA,NA,NA
Jaylen Brown,86.7,4.5,3,1.5,NA,NA,NA
Walter Berry,84.9,3.4,2.4,2.3,NA,NA,NA
Leonard Gray,84.9,4.1,4,1.8,NA,NA,NA
Collis Jones,84.2,4.2,3.2,2.1,1.2,NA,NA
Reggie Johnson,84.1,3.9,3,2.4,1.6,NA,NA
Eddie Griffin,81.5,3.9,3.2,2.4,1.5,-0.2,NA
Solomon Hill,80.3,3.5,2.7,2.1,0.5,0.4,-0.1
