Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Andre McCarter,,0.8,0.3,0,NA
Greg Sutton,86.2,0.8,0.2,-0.1,NA
Glenn Hansen,80.2,0.8,0.4,-0.1,NA
Raymond Townsend,79.6,0.8,0.4,-0.2,NA
Willie Smith,77.0,1,0.3,0,0
Sam Jacobson,76.7,0.9,0.2,0,NA
Eddie Hughes,75.1,1,0.4,0,NA
Kyle Weaver,72.5,1.2,0.3,0,NA
Stan Pietkiewicz,72.4,1,0.6,0,NA
Sergey Karasev,70.6,0.7,0.3,-0.1,NA
Connie Norman,69.2,0.8,0.2,0.2,NA
