Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jerrod Mustaf,,0.8,0.5,0.4,0
Ronald Dupree,80.9,1,0.5,0.3,0
Ansu Sesay,80.7,0.8,0.5,0.2,-0.1
Michael Smith,79.1,0.7,0.3,0.3,NA
Cal Bowdler,78.9,1,0.5,0.2,NA
Christian Wood,78.9,0.8,0.3,0.3,NA
Obinna Ekezie,78.6,0.7,0.5,0.4,0.2
Cartier Martin,78.4,0.8,0.7,0.4,0.1
Bob Peterson,76.5,0.9,0.4,0.2,NA
Troy Williams,75.5,0.5,0.4,0.4,NA
Jackie Moore,75.4,0.9,0.5,NA,NA
