Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Duane Ferrell,,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
Toby Kimball,88.6,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Mike Sanders,87.0,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1
Brad Lohaus,86.8,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Derrick Williams,86.2,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Terry Teagle,84.7,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0,-0.2,-0.8
Chase Budinger,84.5,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA,NA
Barry Clemens,83.2,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1
Howard Porter,82.7,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA
Scott Padgett,82.5,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA,NA,NA
Danny Vranes,82.3,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA,NA
